Kernel Name	demangled name with suffix	Kernel Name (Demangled)	gpu_tot_sim_insn\s*=\s*(.*)	gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*	gpu_tot_sim_cycle\s*=\s*(.*)	\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*)	\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*)	\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*)	\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*)	\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*)	\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*)	\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*)	\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*)	\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[MSHR_HIT\]\s*=\s*(.*)	gpgpu_n_tot_w_icount\s*=\s*(.*)	total dram reads\s*=\s*(.*)	total dram writes\s*=\s*(.*)	kernel_launch_uid\s*=\s*(.*)	gpgpu_n_shmem_bkconflict\s*=\s*(.*)	gpgpu_n_l1cache_bkconflict\s*=\s*(.*)	gpu_ipc\s*=\s*(.*)	gpu_occupancy\s*=\s*(.*)%	L2_BW\s*=\s*(.*)+GB\/Sec	gpgpu_simulation_rate\s+=\s+(.*)\s+\(inst\/sec\)	gpgpu_simulation_rate\s+=\s+(.*)\s+\(cycle\/sec\)	gpgpu_silicon_slowdown\s*=\s*(.*)x	gpu_tot_ipc\s*=\s*(.*)
_ZN2at6native44_GLOBAL__N__50c743a2_11_Indexing_cu_89862edb21indexSelectSmallIndexIfljLi2ELi2ELin2EEEvNS_4cuda6detail10TensorInfoIT_T1_EENS5_IKS6_S7_EENS5_IKT0_S7_EEiiS7_l--0	"void at::native::(anonymous namespace)::indexSelectSmallIndex<float, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)--0"	"void at::native::(anonymous namespace)::indexSelectSmallIndex<float, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)"	386304	1	11925	4	684	0	672	840	120	0	672	36	13464	674	0	1	0	0	32.3945	-nan	0	386304	11925	94926	32.3945
_ZN2at6native44_GLOBAL__N__50c743a2_11_Indexing_cu_89862edb21indexSelectSmallIndexIfljLi2ELi2ELin2EEEvNS_4cuda6detail10TensorInfoIT_T1_EENS5_IKS6_S7_EENS5_IKT0_S7_EEiiS7_l--1	"void at::native::(anonymous namespace)::indexSelectSmallIndex<float, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)--1"	"void at::native::(anonymous namespace)::indexSelectSmallIndex<float, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)"	386304	1	9495	4	108	0	672	840	696	0	672	36	13464	98	0	1	0	0	40.685	-nan	0	386304	10710	105695	36.0695
_ZN2at6native44_GLOBAL__N__50c743a2_11_Indexing_cu_89862edb21indexSelectSmallIndexIfljLi2ELi2ELin2EEEvNS_4cuda6detail10TensorInfoIT_T1_EENS5_IKS6_S7_EENS5_IKT0_S7_EEiiS7_l--2	"void at::native::(anonymous namespace)::indexSelectSmallIndex<float, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)--2"	"void at::native::(anonymous namespace)::indexSelectSmallIndex<float, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)"	386304	1	11911	4	684	0	672	840	120	0	672	36	13464	674	0	1	0	0	32.4325	-nan	0	397610	13039	86816	30.4924
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--0	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--0"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10623	1349	2016	12	686	6720	672	0	686	4032	14308	192	0	1	0	476	38.1597	-nan	0	408030	13879	81562	29.3991
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--1	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--1"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10058	1331	2016	686	686	6720	672	0	686	4032	14308	192	0	1	0	460	40.3032	-nan	0	1665604	5701	198561	292.1336
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--2	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--2"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10113	1346	2016	686	686	6720	672	0	686	4032	14308	192	0	1	0	460	40.084	-nan	0	1553934	3926	288334	395.7876
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--3	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--3"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10300	1308	2016	686	686	6720	672	0	686	4032	14308	192	0	1	0	464	39.3563	-nan	0	1613876	4021	281522	401.322
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--4	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--4"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10369	1428	2016	12	686	6720	672	0	686	4032	14308	192	0	1	0	456	39.0944	-nan	0	1582548	3651	310052	433.3517
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--5	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--5"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10666	1311	2016	686	686	6720	672	0	686	4032	14308	192	0	1	0	679	38.0058	-nan	0	1604915	3737	302916	429.4544
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--6	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--6"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10350	1365	2016	12	686	6720	672	0	686	4032	14308	192	4	1	0	468	39.1662	-nan	0	1579137	3524	321225	448.0804
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--7	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--7"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10434	1360	2016	686	686	6720	672	0	686	4032	14308	192	0	1	0	472	38.8509	-nan	0	1601200	3613	313313	443.1595
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--8	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--8"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	9959	1307	2016	12	686	6720	672	0	686	4032	14308	192	0	1	0	570	40.7039	-nan	0	1582377	3475	325755	455.3257
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--9	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--9"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	9761	1372	2016	686	686	6720	672	0	686	4032	14308	192	0	1	0	468	41.5296	-nan	0	1603746	3556	318335	450.9583
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--10	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--10"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10144	1403	2016	684	686	6720	672	0	686	4032	14308	192	0	1	0	468	39.9616	-nan	0	1592318	3460	327167	460.1936
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--11	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--11"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10244	1347	2016	686	686	6720	672	0	686	4032	14308	192	0	1	0	456	39.5715	-nan	0	1605361	3518	321773	456.2047
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--12	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--12"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10231	1288	2016	686	686	6720	672	0	686	4032	14308	192	0	1	0	476	39.6217	-nan	0	1595629	3443	328783	463.4124
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--13	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--13"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10231	1382	2016	686	686	6720	672	0	686	4032	14308	192	0	1	0	541	39.6217	-nan	0	1606460	3495	323891	459.5819
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--14	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--14"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10271	1306	2016	686	686	6720	672	0	686	4032	14308	192	0	1	0	460	39.4674	-nan	0	1586524	3410	331964	465.1382
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--15	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--15"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10179	1321	2016	686	686	6720	672	0	686	4032	14308	192	0	1	0	464	39.8241	-nan	0	1596292	3455	327641	461.9754
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--16	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--16"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10039	1327	2016	12	686	6720	672	0	686	4032	14308	192	0	1	0	460	40.3795	-nan	0	1584711	3395	333431	466.7759
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--17	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--17"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10033	1348	2016	686	686	6720	672	0	686	4032	14308	192	0	1	0	472	40.4037	-nan	0	1591000	3428	330221	464.0167
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--18	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--18"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10803	1343	2016	12	686	6720	672	0	686	4032	14308	192	0	1	0	468	37.5238	-nan	0	1583294	3381	334812	468.1811
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--19	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--19"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	9991	1289	2016	686	686	6720	672	0	686	4032	14308	192	0	1	0	541	40.5735	-nan	0	1588974	3412	331770	465.5923
_ZN2at6native53_GLOBAL__N__21739cd4_20_layer_norm_kernel_cu_9c5ada8a28vectorized_layer_norm_kernelIffEEviT0_PKT_S6_S6_PS3_S7_PS4_--20	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)--20"	"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)"	405370	1	10611	1349	2016	12	686	6720	672	0	686	4032	14308	192	0	1	0	468	38.2028	-nan	0	1582172	3370	335905	469.4873
